EXP,TRIAL_TYPE,TEXT,COLOR,WAIT,RESPTIME,RT,TRUE_KEY,ANSWER,CORR
training,neutral,HHHHH,red,1,4,2.716774864771196,x,x,True
training,neutral,HHHHH,green,1,4,1.5501820691551984,m,z,False
